Train Type,Car No.,Car Type,Car Direction,Door No.,Case,Case Offset (mm),Stop Error (mm),Front Ref Position (mm),Base Door Start (mm),Base Door End (mm),Door Width (mm),Actual Door Start (mm),Actual Door End (mm),Door Center (mm),Unit ID,Unit Start (mm),Unit End (mm),Unit Center (mm),Overlap Width (mm),Move Distance (mm),Direction,Effective Opening Width (mm),Min Required Width (mm),Valid?,Command,Confidence,Source / Note
지하철 대형통근형,3,M',정방향,1,5,70,15,85,4190,4320,130,4275,4405,4340,32,4340,4480,4410,87.75,87.75,RIGHT,175.5,175.5,OK,UNIT_32:RIGHT:87.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,2,5,70,15,85,4670,4800,130,4755,4885,4820,34,4620,4760,4690,50.5,50.5,LEFT,175.5,175.5,OK,UNIT_34:LEFT:50.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,2,5,70,15,85,4670,4800,130,4755,4885,4820,35,4760,4900,4830,125,125,RIGHT,175.5,175.5,OK,UNIT_35:RIGHT:125.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,3,5,70,15,85,5150,5280,130,5235,5365,5300,38,5180,5320,5250,107.75,107.75,LEFT,175.5,175.5,OK,UNIT_38:LEFT:107.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,3,5,70,15,85,5150,5280,130,5235,5365,5300,39,5320,5460,5390,67.75,67.75,RIGHT,175.5,175.5,OK,UNIT_39:RIGHT:67.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,4,5,70,15,85,5630,5760,130,5715,5845,5780,41,5600,5740,5670,70.5,70.5,LEFT,175.5,175.5,OK,UNIT_41:LEFT:70.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,4,5,70,15,85,5630,5760,130,5715,5845,5780,42,5740,5880,5810,105,105,RIGHT,175.5,175.5,OK,UNIT_42:RIGHT:105.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,4,T,정방향,1,5,70,15,85,6190,6320,130,6275,6405,6340,45,6160,6300,6230,70.5,70.5,LEFT,175.5,175.5,OK,UNIT_45:LEFT:70.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,4,T,정방향,1,5,70,15,85,6190,6320,130,6275,6405,6340,46,6300,6440,6370,105,105,RIGHT,175.5,175.5,OK,UNIT_46:RIGHT:105.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,4,T,정방향,2,5,70,15,85,6670,6800,130,6755,6885,6820,49,6720,6860,6790,105,105,LEFT,175.5,175.5,OK,UNIT_49:LEFT:105.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,4,T,정방향,2,5,70,15,85,6670,6800,130,6755,6885,6820,50,6860,7000,6930,70.5,70.5,RIGHT,175.5,175.5,OK,UNIT_50:RIGHT:70.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,4,T,정방향,3,5,70,15,85,7150,7280,130,7235,7365,7300,52,7140,7280,7210,67.75,67.75,LEFT,175.5,175.5,OK,UNIT_52:LEFT:67.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,4,T,정방향,3,5,70,15,85,7150,7280,130,7235,7365,7300,53,7280,7420,7350,107.75,107.75,RIGHT,175.5,175.5,OK,UNIT_53:RIGHT:107.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 4호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,4,T,정방향,4,5,70,15,85,7630,7760,130,7715,7845,7780,56,7700,7840,7770,125,125,LEFT,175.5,175.5,OK,UNIT_56:LEFT:125.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,4,T,정방향,4,5,70,15,85,7630,7760,130,7715,7845,7780,57,7840,7980,7910,50.5,50.5,RIGHT,175.5,175.5,OK,UNIT_57:RIGHT:50.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 4호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,5,M',정방향,1,5,70,15,85,8190,8320,130,8275,8405,8340,60,8260,8400,8330,125,125,LEFT,175.5,175.5,OK,UNIT_60:LEFT:125.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,5,M',정방향,1,5,70,15,85,8190,8320,130,8275,8405,8340,61,8400,8540,8470,50.5,50.5,RIGHT,175.5,175.5,OK,UNIT_61:RIGHT:50.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,5,M',정방향,2,5,70,15,85,8670,8800,130,8755,8885,8820,63,8680,8820,8750,87.75,87.75,LEFT,175.5,175.5,OK,UNIT_63:LEFT:87.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 5호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,5,M',정방향,2,5,70,15,85,8670,8800,130,8755,8885,8820,64,8820,8960,8890,87.75,87.75,RIGHT,175.5,175.5,OK,UNIT_64:RIGHT:87.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 5호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,5,M',정방향,3,5,70,15,85,9150,9280,130,9235,9365,9300,66,9100,9240,9170,50.5,50.5,LEFT,175.5,175.5,OK,UNIT_66:LEFT:50.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,5,M',정방향,3,5,70,15,85,9150,9280,130,9235,9365,9300,67,9240,9380,9310,125,125,RIGHT,175.5,175.5,OK,UNIT_67:RIGHT:125.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 5호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,5,M',정방향,4,5,70,15,85,9630,9760,130,9715,9845,9780,70,9660,9800,9730,85,85,LEFT,175.5,175.5,OK,UNIT_70:LEFT:85.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,5,M',정방향,4,5,70,15,85,9630,9760,130,9715,9845,9780,71,9800,9940,9870,90.5,90.5,RIGHT,175.5,175.5,OK,UNIT_71:RIGHT:90.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 5호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,6,T,정방향,1,5,70,15,85,10190,10320,130,10275,10405,10340,74,10220,10360,10290,107.75,107.75,LEFT,175.5,175.5,OK,UNIT_74:LEFT:107.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 6호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,6,T,정방향,1,5,70,15,85,10190,10320,130,10275,10405,10340,75,10360,10500,10430,67.75,67.75,RIGHT,175.5,175.5,OK,UNIT_75:RIGHT:67.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 6호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,6,T,정방향,2,5,70,15,85,10670,10800,130,10755,10885,10820,77,10640,10780,10710,70.5,70.5,LEFT,175.5,175.5,OK,UNIT_77:LEFT:70.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,6,T,정방향,2,5,70,15,85,10670,10800,130,10755,10885,10820,78,10780,10920,10850,105,105,RIGHT,175.5,175.5,OK,UNIT_78:RIGHT:105.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 6호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,6,T,정방향,3,5,70,15,85,11150,11280,130,11235,11365,11300,81,11200,11340,11270,105,105,LEFT,175.5,175.5,OK,UNIT_81:LEFT:105.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,6,T,정방향,3,5,70,15,85,11150,11280,130,11235,11365,11300,82,11340,11480,11410,70.5,70.5,RIGHT,175.5,175.5,OK,UNIT_82:RIGHT:70.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 6호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,6,T,정방향,4,5,70,15,85,11630,11760,130,11715,11845,11780,84,11620,11760,11690,67.75,67.75,LEFT,175.5,175.5,OK,UNIT_84:LEFT:67.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 6호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,6,T,정방향,4,5,70,15,85,11630,11760,130,11715,11845,11780,85,11760,11900,11830,107.75,107.75,RIGHT,175.5,175.5,OK,UNIT_85:RIGHT:107.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 6호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,7,T,정방향,1,5,70,15,85,12190,12320,130,12275,12405,12340,88,12180,12320,12250,90.5,90.5,LEFT,175.5,175.5,OK,UNIT_88:LEFT:90.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,7,T,정방향,1,5,70,15,85,12190,12320,130,12275,12405,12340,89,12320,12460,12390,85,85,RIGHT,175.5,175.5,OK,UNIT_89:RIGHT:85.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,7,T,정방향,2,5,70,15,85,12670,12800,130,12755,12885,12820,92,12740,12880,12810,125,125,LEFT,175.5,175.5,OK,UNIT_92:LEFT:125.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 7호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,7,T,정방향,2,5,70,15,85,12670,12800,130,12755,12885,12820,93,12880,13020,12950,50.5,50.5,RIGHT,175.5,175.5,OK,UNIT_93:RIGHT:50.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 7호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,7,T,정방향,3,5,70,15,85,13150,13280,130,13235,13365,13300,95,13160,13300,13230,87.75,87.75,LEFT,175.5,175.5,OK,UNIT_95:LEFT:87.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 7호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,7,T,정방향,3,5,70,15,85,13150,13280,130,13235,13365,13300,96,13300,13440,13370,87.75,87.75,RIGHT,175.5,175.5,OK,UNIT_96:RIGHT:87.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 7호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,7,T,정방향,4,5,70,15,85,13630,13760,130,13715,13845,13780,98,13580,13720,13650,50.5,50.5,LEFT,175.5,175.5,OK,UNIT_98:LEFT:50.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,7,T,정방향,4,5,70,15,85,13630,13760,130,13715,13845,13780,99,13720,13860,13790,125,125,RIGHT,175.5,175.5,OK,UNIT_99:RIGHT:125.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 7호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,8,M,정방향,1,5,70,15,85,14190,14320,130,14275,14405,14340,102,14140,14280,14210,50.5,50.5,LEFT,175.5,175.5,OK,UNIT_102:LEFT:50.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,8,M,정방향,1,5,70,15,85,14190,14320,130,14275,14405,14340,103,14280,14420,14350,125,125,RIGHT,175.5,175.5,OK,UNIT_103:RIGHT:125.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,8,M,정방향,2,5,70,15,85,14670,14800,130,14755,14885,14820,106,14700,14840,14770,107.75,107.75,LEFT,175.5,175.5,OK,UNIT_106:LEFT:107.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 8호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,8,M,정방향,2,5,70,15,85,14670,14800,130,14755,14885,14820,107,14840,14980,14910,67.75,67.75,RIGHT,175.5,175.5,OK,UNIT_107:RIGHT:67.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 8호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,8,M,정방향,3,5,70,15,85,15150,15280,130,15235,15365,15300,109,15120,15260,15190,70.5,70.5,LEFT,175.5,175.5,OK,UNIT_109:LEFT:70.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,8,M,정방향,3,5,70,15,85,15150,15280,130,15235,15365,15300,110,15260,15400,15330,105,105,RIGHT,175.5,175.5,OK,UNIT_110:RIGHT:105.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 8호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,8,M,정방향,4,5,70,15,85,15630,15760,130,15715,15845,15780,113,15680,15820,15750,105,105,LEFT,175.5,175.5,OK,UNIT_113:LEFT:105.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 8호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,8,M,정방향,4,5,70,15,85,15630,15760,130,15715,15845,15780,114,15820,15960,15890,70.5,70.5,RIGHT,175.5,175.5,OK,UNIT_114:RIGHT:70.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 8호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,9,M',정방향,1,5,70,15,85,16190,16320,130,16275,16405,16340,117,16240,16380,16310,105,105,LEFT,175.5,175.5,OK,UNIT_117:LEFT:105.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 9호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,9,M',정방향,1,5,70,15,85,16190,16320,130,16275,16405,16340,118,16380,16520,16450,70.5,70.5,RIGHT,175.5,175.5,OK,UNIT_118:RIGHT:70.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 9호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,9,M',정방향,2,5,70,15,85,16670,16800,130,16755,16885,16820,120,16660,16800,16730,67.75,67.75,LEFT,175.5,175.5,OK,UNIT_120:LEFT:67.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 9호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,9,M',정방향,2,5,70,15,85,16670,16800,130,16755,16885,16820,121,16800,16940,16870,107.75,107.75,RIGHT,175.5,175.5,OK,UNIT_121:RIGHT:107.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 9호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,9,M',정방향,3,5,70,15,85,17150,17280,130,17235,17365,17300,124,17220,17360,17290,125,125,LEFT,175.5,175.5,OK,UNIT_124:LEFT:125.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 9호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,9,M',정방향,3,5,70,15,85,17150,17280,130,17235,17365,17300,125,17360,17500,17430,50.5,50.5,RIGHT,175.5,175.5,OK,UNIT_125:RIGHT:50.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 9호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,9,M',정방향,4,5,70,15,85,17630,17760,130,17715,17845,17780,127,17640,17780,17710,87.75,87.75,LEFT,175.5,175.5,OK,UNIT_127:LEFT:87.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 9호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,9,M',정방향,4,5,70,15,85,17630,17760,130,17715,17845,17780,128,17780,17920,17850,87.75,87.75,RIGHT,175.5,175.5,OK,UNIT_128:RIGHT:87.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 9호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,10,Tc,역방향,1,5,70,15,85,19630,19760,130,19715,19845,19780,141,19600,19740,19670,70.5,70.5,LEFT,175.5,175.5,OK,UNIT_141:LEFT:70.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 10호차 역방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,10,Tc,역방향,1,5,70,15,85,19630,19760,130,19715,19845,19780,142,19740,19880,19810,105,105,RIGHT,175.5,175.5,OK,UNIT_142:RIGHT:105.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 10호차 역방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,10,Tc,역방향,2,5,70,15,85,19150,19280,130,19235,19365,19300,138,19180,19320,19250,107.75,107.75,LEFT,175.5,175.5,OK,UNIT_138:LEFT:107.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 10호차 역방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,10,Tc,역방향,2,5,70,15,85,19150,19280,130,19235,19365,19300,139,19320,19460,19390,67.75,67.75,RIGHT,175.5,175.5,OK,UNIT_139:RIGHT:67.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 10호차 역방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,10,Tc,역방향,3,5,70,15,85,18670,18800,130,18755,18885,18820,134,18620,18760,18690,50.5,50.5,LEFT,175.5,175.5,OK,UNIT_134:LEFT:50.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 10호차 역방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,10,Tc,역방향,3,5,70,15,85,18670,18800,130,18755,18885,18820,135,18760,18900,18830,125,125,RIGHT,175.5,175.5,OK,UNIT_135:RIGHT:125.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 10호차 역방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,10,Tc,역방향,4,5,70,15,85,18190,18320,130,18275,18405,18340,131,18200,18340,18270,87.75,87.75,LEFT,175.5,175.5,OK,UNIT_131:LEFT:87.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 10호차 역방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,10,Tc,역방향,4,5,70,15,85,18190,18320,130,18275,18405,18340,132,18340,18480,18410,87.75,87.75,RIGHT,175.5,175.5,OK,UNIT_132:RIGHT:87.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 10호차 역방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,1,Tc,정방향,1,5,70,20,90,190,320,130,280,410,345,2,140,280,210,45.5,45.5,LEFT,175.5,175.5,OK,UNIT_2:LEFT:45.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,1,Tc,정방향,1,5,70,20,90,190,320,130,280,410,345,3,280,420,350,130,130,RIGHT,175.5,175.5,OK,UNIT_3:RIGHT:130.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,1,Tc,정방향,2,5,70,20,90,670,800,130,760,890,825,6,700,840,770,102.75,102.75,LEFT,175.5,175.5,OK,UNIT_6:LEFT:102.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 1호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,1,Tc,정방향,2,5,70,20,90,670,800,130,760,890,825,7,840,980,910,72.75,72.75,RIGHT,175.5,175.5,OK,UNIT_7:RIGHT:72.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 1호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,1,Tc,정방향,3,5,70,20,90,1150,1280,130,1240,1370,1305,9,1120,1260,1190,65.5,65.5,LEFT,175.5,175.5,OK,UNIT_9:LEFT:65.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,1,Tc,정방향,3,5,70,20,90,1150,1280,130,1240,1370,1305,10,1260,1400,1330,110,110,RIGHT,175.5,175.5,OK,UNIT_10:RIGHT:110.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,1,Tc,정방향,4,5,70,20,90,1630,1760,130,1720,1850,1785,13,1680,1820,1750,100,100,LEFT,175.5,175.5,OK,UNIT_13:LEFT:100.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 1호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,1,Tc,정방향,4,5,70,20,90,1630,1760,130,1720,1850,1785,14,1820,1960,1890,75.5,75.5,RIGHT,175.5,175.5,OK,UNIT_14:RIGHT:75.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 1호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,2,M,정방향,1,5,70,20,90,2190,2320,130,2280,2410,2345,17,2240,2380,2310,100,100,LEFT,175.5,175.5,OK,UNIT_17:LEFT:100.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,2,M,정방향,1,5,70,20,90,2190,2320,130,2280,2410,2345,18,2380,2520,2450,75.5,75.5,RIGHT,175.5,175.5,OK,UNIT_18:RIGHT:75.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,2,M,정방향,2,5,70,20,90,2670,2800,130,2760,2890,2825,20,2660,2800,2730,62.75,62.75,LEFT,175.5,175.5,OK,UNIT_20:LEFT:62.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,2,M,정방향,2,5,70,20,90,2670,2800,130,2760,2890,2825,21,2800,2940,2870,112.75,112.75,RIGHT,175.5,175.5,OK,UNIT_21:RIGHT:112.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,2,M,정방향,3,5,70,20,90,3150,3280,130,3240,3370,3305,24,3220,3360,3290,120,120,LEFT,175.5,175.5,OK,UNIT_24:LEFT:120.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,2,M,정방향,3,5,70,20,90,3150,3280,130,3240,3370,3305,25,3360,3500,3430,55.5,55.5,RIGHT,175.5,175.5,OK,UNIT_25:RIGHT:55.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 2호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
지하철 대형통근형,2,M,정방향,4,5,70,20,90,3630,3760,130,3720,3850,3785,27,3640,3780,3710,82.75,82.75,LEFT,175.5,175.5,OK,UNIT_27:LEFT:82.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,2,M,정방향,4,5,70,20,90,3630,3760,130,3720,3850,3785,28,3780,3920,3850,92.75,92.75,RIGHT,175.5,175.5,OK,UNIT_28:RIGHT:92.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 2호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,1,5,70,20,90,4190,4320,130,4280,4410,4345,31,4200,4340,4270,82.75,82.75,LEFT,175.5,175.5,OK,UNIT_31:LEFT:82.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,1,5,70,20,90,4190,4320,130,4280,4410,4345,32,4340,4480,4410,92.75,92.75,RIGHT,175.5,175.5,OK,UNIT_32:RIGHT:92.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,2,5,70,20,90,4670,4800,130,4760,4890,4825,34,4620,4760,4690,45.5,45.5,LEFT,175.5,175.5,OK,UNIT_34:LEFT:45.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,2,5,70,20,90,4670,4800,130,4760,4890,4825,35,4760,4900,4830,130,130,RIGHT,175.5,175.5,OK,UNIT_35:RIGHT:130.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,3,5,70,20,90,5150,5280,130,5240,5370,5305,38,5180,5320,5250,102.75,102.75,LEFT,175.5,175.5,OK,UNIT_38:LEFT:102.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,3,5,70,20,90,5150,5280,130,5240,5370,5305,39,5320,5460,5390,72.75,72.75,RIGHT,175.5,175.5,OK,UNIT_39:RIGHT:72.8mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,4,5,70,20,90,5630,5760,130,5720,5850,5785,41,5600,5740,5670,65.5,65.5,LEFT,175.5,175.5,OK,UNIT_41:LEFT:65.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,3,M',정방향,4,5,70,20,90,5630,5760,130,5720,5850,5785,42,5740,5880,5810,110,110,RIGHT,175.5,175.5,OK,UNIT_42:RIGHT:110.0mm,표준,"대형전동차 표준, 4,800mm 간격 / 3호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
지하철 대형통근형,4,T,정방향,1,5,70,20,90,6190,6320,130,6280,6410,6345,45,6160,6300,6230,65.5,65.5,LEFT,175.5,175.5,OK,UNIT_45:LEFT:65.5mm,표준,"대형전동차 표준, 4,800mm 간격 / 4호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
