Train Type,Car No.,Car Type,Car Direction,Door No.,Case,Case Offset (mm),Stop Error (mm),Front Ref Position (mm),Base Door Start (mm),Base Door End (mm),Door Width (mm),Actual Door Start (mm),Actual Door End (mm),Door Center (mm),Unit ID,Unit Start (mm),Unit End (mm),Unit Center (mm),Overlap Width (mm),Move Distance (mm),Direction,Effective Opening Width (mm),Min Required Width (mm),Valid?,Command,Confidence,Source / Note
GTX-A,7,M,정방향,3,1,0,-35,-35,13560,13690,130,13525,13655,13590,98,13580,13720,13650,97.75,97.75,RIGHT,175.5,175.5,OK,UNIT_98:RIGHT:97.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 7호차 정방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,1,1,0,-35,-35,15560,15690,130,15525,15655,15590,111,15400,15540,15470,60.5,60.5,LEFT,175.5,175.5,OK,UNIT_111:LEFT:60.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,1,1,0,-35,-35,15560,15690,130,15525,15655,15590,112,15540,15680,15610,115,115,RIGHT,175.5,175.5,OK,UNIT_112:RIGHT:115.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,2,1,0,-35,-35,14910,15040,130,14875,15005,14940,107,14840,14980,14910,105,105,LEFT,175.5,175.5,OK,UNIT_107:LEFT:105.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,2,1,0,-35,-35,14910,15040,130,14875,15005,14940,108,14980,15120,15050,70.5,70.5,RIGHT,175.5,175.5,OK,UNIT_108:RIGHT:70.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,3,1,0,-35,-35,14260,14390,130,14225,14355,14290,102,14140,14280,14210,77.75,77.75,LEFT,175.5,175.5,OK,UNIT_102:LEFT:77.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,8,Tc,역방향,3,1,0,-35,-35,14260,14390,130,14225,14355,14290,103,14280,14420,14350,97.75,97.75,RIGHT,175.5,175.5,OK,UNIT_103:RIGHT:97.8mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 8호차 역방향 / Global opening=BOTH / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,1,1,0,-30,-30,260,390,130,230,360,295,2,140,280,210,95.5,95.5,LEFT,175.5,175.5,OK,UNIT_2:LEFT:95.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,1,1,0,-30,-30,260,390,130,230,360,295,3,280,420,350,80,80,RIGHT,175.5,175.5,OK,UNIT_3:RIGHT:80.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,2,1,0,-30,-30,910,1040,130,880,1010,945,7,840,980,910,100,100,LEFT,175.5,175.5,OK,UNIT_7:LEFT:100.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,2,1,0,-30,-30,910,1040,130,880,1010,945,8,980,1120,1050,75.5,75.5,RIGHT,175.5,175.5,OK,UNIT_8:RIGHT:75.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=RIGHT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,3,1,0,-30,-30,1560,1690,130,1530,1660,1595,11,1400,1540,1470,55.5,55.5,LEFT,175.5,175.5,OK,UNIT_11:LEFT:55.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,1,Tc,정방향,3,1,0,-30,-30,1560,1690,130,1530,1660,1595,12,1540,1680,1610,120,120,RIGHT,175.5,175.5,OK,UNIT_12:RIGHT:120.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 1호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,1,1,0,-30,-30,2260,2390,130,2230,2360,2295,16,2100,2240,2170,55.5,55.5,LEFT,175.5,175.5,OK,UNIT_16:LEFT:55.5mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
GTX-A,2,M,정방향,1,1,0,-30,-30,2260,2390,130,2230,2360,2295,17,2240,2380,2310,120,120,RIGHT,175.5,175.5,OK,UNIT_17:RIGHT:120.0mm,추정,"문 수·문폭 공식, 위치는 균등배치 가정 / 2호차 정방향 / Global opening=LEFT / factor=135% / scale=1:10"
