Train Type,Door No.,Case,Case Offset (m),Stop Error (m),Front Ref Position (m),Base Door Start (m),Door Width (m),Actual Door Start (m),Actual Door End (m),Open Unit Start,Open Unit End,Selected Unit Center (m),Door Center (m),Move Distance (m),Direction,Effective Opening Width (m),Min Required Width (m),Valid?,Command
GTX-A,1,5,0.525,0.05,0.575,2.987,1.3,3.562,4.862,4,4,4.9,4.212,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.1,0.625,2.987,1.3,3.612,4.912,3,3,3.5,4.262,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.1,0.625,2.987,1.3,3.612,4.912,4,4,4.9,4.262,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.15,0.675,2.987,1.3,3.662,4.962,3,3,3.5,4.312,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.15,0.675,2.987,1.3,3.662,4.962,4,4,4.9,4.312,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.2,0.725,2.987,1.3,3.712,5.012,3,3,3.5,4.362,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.2,0.725,2.987,1.3,3.712,5.012,4,4,4.9,4.362,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.25,0.775,2.987,1.3,3.762,5.062,3,3,3.5,4.412,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.25,0.775,2.987,1.3,3.762,5.062,4,4,4.9,4.412,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.3,0.825,2.987,1.3,3.812,5.112,3,3,3.5,4.462,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.3,0.825,2.987,1.3,3.812,5.112,4,4,4.9,4.462,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.35,0.875,2.987,1.3,3.862,5.162,3,3,3.5,4.512,0.35,RIGHT,1.3,1.3,OK,
GTX-A,1,5,0.525,0.35,0.875,2.987,1.3,3.862,5.162,4,4,4.9,4.512,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.35,0.35,2.987,1.3,3.337,4.637,3,3,3.5,3.987,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.35,0.35,2.987,1.3,3.337,4.637,4,4,4.9,3.987,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.3,0.4,2.987,1.3,3.387,4.687,3,3,3.5,4.037,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.3,0.4,2.987,1.3,3.387,4.687,4,4,4.9,4.037,0.525,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.25,0.45,2.987,1.3,3.437,4.737,3,3,3.5,4.087,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.25,0.45,2.987,1.3,3.437,4.737,4,4,4.9,4.087,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.2,0.5,2.987,1.3,3.487,4.787,3,3,3.5,4.137,0.875,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.2,0.5,2.987,1.3,3.487,4.787,4,4,4.9,4.137,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.15,0.55,2.987,1.3,3.537,4.837,3,3,3.5,4.187,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.15,0.55,2.987,1.3,3.537,4.837,4,4,4.9,4.187,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.1,0.6,2.987,1.3,3.587,4.887,3,3,3.5,4.237,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.1,0.6,2.987,1.3,3.587,4.887,4,4,4.9,4.237,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.05,0.65,2.987,1.3,3.637,4.937,3,3,3.5,4.287,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,-0.05,0.65,2.987,1.3,3.637,4.937,4,4,4.9,4.287,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,0,0.7,2.987,1.3,3.687,4.987,3,3,3.5,4.337,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,0,0.7,2.987,1.3,3.687,4.987,4,4,4.9,4.337,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.05,0.75,2.987,1.3,3.737,5.037,3,3,3.5,4.387,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.05,0.75,2.987,1.3,3.737,5.037,4,4,4.9,4.387,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.1,0.8,2.987,1.3,3.787,5.087,3,3,3.5,4.437,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.1,0.8,2.987,1.3,3.787,5.087,4,4,4.9,4.437,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.15,0.85,2.987,1.3,3.837,5.137,3,3,3.5,4.487,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.15,0.85,2.987,1.3,3.837,5.137,4,4,4.9,4.487,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.2,0.9,2.987,1.3,3.887,5.187,3,3,3.5,4.537,0.35,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.2,0.9,2.987,1.3,3.887,5.187,4,4,4.9,4.537,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.25,0.95,2.987,1.3,3.937,5.237,3,3,3.5,4.587,0.35,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.25,0.95,2.987,1.3,3.937,5.237,4,4,4.9,4.587,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.3,1,2.987,1.3,3.987,5.287,3,3,3.5,4.637,0.35,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.3,1,2.987,1.3,3.987,5.287,4,4,4.9,4.637,1.225,LEFT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.35,1.05,2.987,1.3,4.037,5.337,3,3,3.5,4.687,0.175,RIGHT,1.3,1.3,OK,
GTX-A,1,4,0.7,0.35,1.05,2.987,1.3,4.037,5.337,4,4,4.9,4.687,1.225,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.35,0.525,2.987,1.3,3.512,4.812,3,3,3.5,4.162,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.35,0.525,2.987,1.3,3.512,4.812,4,4,4.9,4.162,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.3,0.575,2.987,1.3,3.562,4.862,3,3,3.5,4.212,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.3,0.575,2.987,1.3,3.562,4.862,4,4,4.9,4.212,0.7,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.25,0.625,2.987,1.3,3.612,4.912,3,3,3.5,4.262,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.25,0.625,2.987,1.3,3.612,4.912,4,4,4.9,4.262,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.2,0.675,2.987,1.3,3.662,4.962,3,3,3.5,4.312,0.7,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.2,0.675,2.987,1.3,3.662,4.962,4,4,4.9,4.312,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.15,0.725,2.987,1.3,3.712,5.012,3,3,3.5,4.362,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.15,0.725,2.987,1.3,3.712,5.012,4,4,4.9,4.362,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.1,0.775,2.987,1.3,3.762,5.062,3,3,3.5,4.412,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.1,0.775,2.987,1.3,3.762,5.062,4,4,4.9,4.412,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.05,0.825,2.987,1.3,3.812,5.112,3,3,3.5,4.462,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,-0.05,0.825,2.987,1.3,3.812,5.112,4,4,4.9,4.462,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,0,0.875,2.987,1.3,3.862,5.162,3,3,3.5,4.512,0.35,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,0,0.875,2.987,1.3,3.862,5.162,4,4,4.9,4.512,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.05,0.925,2.987,1.3,3.912,5.212,3,3,3.5,4.562,0.35,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.05,0.925,2.987,1.3,3.912,5.212,4,4,4.9,4.562,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.1,0.975,2.987,1.3,3.962,5.262,3,3,3.5,4.612,0.35,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.1,0.975,2.987,1.3,3.962,5.262,4,4,4.9,4.612,1.225,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.15,1.025,2.987,1.3,4.012,5.312,3,3,3.5,4.662,0.35,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.15,1.025,2.987,1.3,4.012,5.312,4,4,4.9,4.662,1.225,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.2,1.075,2.987,1.3,4.062,5.362,3,3,3.5,4.712,0.175,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.2,1.075,2.987,1.3,4.062,5.362,4,4,4.9,4.712,1.225,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.25,1.125,2.987,1.3,4.112,5.412,3,3,3.5,4.762,0.175,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.25,1.125,2.987,1.3,4.112,5.412,4,4,4.9,4.762,1.225,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.3,1.175,2.987,1.3,4.162,5.462,3,3,3.5,4.812,0.175,RIGHT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.3,1.175,2.987,1.3,4.162,5.462,4,4,4.9,4.812,1.4,LEFT,1.3,1.3,OK,
GTX-A,1,3,0.875,0.35,1.225,2.987,1.3,4.212,5.512,4,4,4.9,4.862,1.4,LEFT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.35,0.7,2.987,1.3,3.687,4.987,3,3,3.5,4.337,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.35,0.7,2.987,1.3,3.687,4.987,4,4,4.9,4.337,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.3,0.75,2.987,1.3,3.737,5.037,3,3,3.5,4.387,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.3,0.75,2.987,1.3,3.737,5.037,4,4,4.9,4.387,0.875,LEFT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.25,0.8,2.987,1.3,3.787,5.087,3,3,3.5,4.437,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.25,0.8,2.987,1.3,3.787,5.087,4,4,4.9,4.437,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.2,0.85,2.987,1.3,3.837,5.137,3,3,3.5,4.487,0.525,RIGHT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.2,0.85,2.987,1.3,3.837,5.137,4,4,4.9,4.487,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.15,0.9,2.987,1.3,3.887,5.187,3,3,3.5,4.537,0.35,RIGHT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.15,0.9,2.987,1.3,3.887,5.187,4,4,4.9,4.537,1.05,LEFT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.1,0.95,2.987,1.3,3.937,5.237,3,3,3.5,4.587,0.35,RIGHT,1.3,1.3,OK,
GTX-A,1,2,1.05,-0.1,0.95,2.987,1.3,3.937,5.237,4,4,4.9,4.587,1.05,LEFT,1.3,1.3,OK,
